picture,word,depicts,score,remarks
A001.svg,sitting,seated man,5,seated posture
A002.svg,eating,man with hand to mouth,5,
A002.svg,thinking,man with hand to mouth,4,gesture of speech/thought
A003.svg,resting,man seated on heel,4,crouched at rest
A003.svg,crouching,man seated on heel,4,
A004.svg,praying,seated man with arms raised in adoration,5,
A004.svg,pleading,seated man with arms raised in adoration,5,"adoration gesture; shortened from 'worshipping'; plain word, was 'kowtowing'"
A005A.svg,hiding,man crouching and hiding behind a wall,5,
A006A.svg,purifying,man purifying himself with water,5,
A006B.svg,cleansing,man under a stream of water from a vessel,5,dedup of 'purifying'
A006B.svg,washing,man under a stream of water from a vessel,4,
A007.svg,fainting,fatigued man slumped with arm hanging,4,
A008.svg,rejoicing,man performing the henu jubilation gesture,5,henu gesture
A009.svg,carrying,man with a basket on his head,5,
A009.svg,bearing,man with a basket on his head,4,
A010.svg,rowing,man seated in a boat holding an oar,4,
A014A.svg,striving,"man with blood streaming from head, slain",3,was 'dying'; email-friendly swap
A015.svg,falling,"man falling, upside down",5,
A016.svg,bowing,man bowing low,5,
A016.svg,stooping,man bowing low,4,
A019.svg,leaning,bent old man leaning on a staff,4,on staff
A022.svg,standing,"man holding staff and sceptre, statue",3,
A026.svg,calling,man with one arm outstretched calling,5,
A026.svg,beckoning,man with one arm outstretched calling,4,
A027.svg,running,"man hastening, running",5,
A028.svg,cheering,man with both arms raised above head,4,dedup of 'rejoicing'
A029.svg,tumbling,"man upside down, falling headfirst",5,dedup of 'falling'; head down
A030.svg,praising,man with arms raised in praise,5,
A030.svg,adoring,man with arms raised in praise,4,
A031.svg,turning,"man with arms raised behind, turning away",4,averting
A032.svg,dancing,man dancing with arms raised,5,
A032A.svg,twirling,man dancing with one arm forward,5,dedup of 'dancing'
A033.svg,wandering,man with staff and bundle over shoulder,4,
A034.svg,pounding,man pounding in a mortar,5,
A034.svg,grinding,man pounding in a mortar,4,
A035.svg,building,"man building a wall, laying bricks",5,
A036.svg,brewing,man kneading in a vat (brewer),4,
A038.svg,grasping,man grasping necks of two panthers,4,
A038.svg,wrestling,man grasping necks of two panthers,3,
A039.svg,gripping,man grasping necks of two giraffes,3,dedup of 'grasping'
A054.svg,reclining,mummy lying on a bier,4,dedup of 'lying'; reclining
A056.svg,guarding,man seated holding a stick,3,
A057.svg,raising,man holding stick and bag,3,dedup of 'building'; shortened from 'constructing'
A059.svg,driving,man brandishing a stick to threaten,4,
A059.svg,menacing,man brandishing a stick to threaten,4,shortened from 'threatening'
A060.svg,sowing,man sowing seed while walking,5,
A060.svg,strewing,man sowing seed while walking,4,shortened from 'scattering'
A061.svg,striking,"man brandishing weapon, striking",4,
A062.svg,hoisting,man with raised arm holding object on head,3,dedup of 'carrying'
A064.svg,hauling,man bending forward carrying a load,4,dedup of 'carrying'; burden
A066.svg,lying,man lying prone on his belly,5,prone
A068.svg,upright,"man with arms hanging, standing",4,dedup of 'standing'; shortened from 'standing-tall'
A069.svg,leaping,dancing/leaping man,4,
A069.svg,prancing,dancing/leaping man,4,dedup of 'dancing'
A070.svg,warding,man holding a long staff upright,3,dedup of 'standing'; shortened from 'watching-over'
Aa005.svg,steering,part of a steering-oar/ship's gear,3,
B001.svg,perching,seated woman,4,dedup of 'sitting'; shortened from 'seated-still'
B005.svg,nursing,woman nursing a child,5,
B005A.svg,suckling,woman seated nursing a child,5,dedup of 'nursing'
B006.svg,tending,woman seated holding a child,3,
B008.svg,clasping,woman holding a lotus flower,3,lotus; dedup of 'holding'
B009.svg,kneeling,woman kneeling,4,
C011.svg,upholding,"god supporting the sky (Heh, eternity)",3,dedup of 'kneeling'
D008.svg,watching,eye within an enclosure,3,
D009.svg,weeping,eye with flowing tears,5,
D009.svg,crying,eye with flowing tears,4,
D010.svg,gazing,eye of Horus (wedjat eye),3,dedup of 'watching'
D018.svg,listening,ear of an animal,4,
D018.svg,hearing,ear of an animal,4,
D027.svg,nourish,female breast,3,dedup of 'nursing'; shortened from 'suckling-breast'
D028.svg,embracing,two arms raised (ka),4,
D029.svg,enfolding,two raised arms with standard (ka),3,dedup of 'embracing'
D030.svg,exalting,two arms raised in adoration,4,dedup of 'praising'
D030.svg,revering,two arms raised in adoration,4,dedup of 'adoring'; shortened from 'venerating'
D031.svg,holding,arms holding/supporting an object,4,
D031.svg,bracing,arms holding/supporting an object,3,shortened from 'supporting'
D031A.svg,lifting,arms supporting/lifting an object,4,
D032.svg,cuddling,two arms extended in embrace,5,"dedup of 'embracing'; shortened from 'embracing-wide'; plain word, was 'enclasp'"
D032.svg,hugging,two arms extended in embrace,4,
D035.svg,refusing,two arms in gesture of negation,3,
D035.svg,denying,two arms in gesture of negation,3,
D036.svg,reaching,forearm (arm),3,
D037.svg,giving,forearm holding a loaf (giving),5,
D037.svg,offering,forearm holding a loaf (giving),4,
D038.svg,bestowing,forearm holding a round loaf,4,dedup of 'giving'
D039.svg,tendering,forearm holding a bowl,5,dedup of 'offering'; shortened from 'presenting'
D039.svg,handing,forearm holding a bowl,4,dedup of 'presenting'; shortened from 'proffering'
D040.svg,smiting,forearm holding a stick,5,dedup of 'striking'
D041.svg,halting,forearm with hand bent palm down,3,
D042.svg,measuring,forearm for measuring (cubit),4,
D043.svg,flailing,forearm holding a flail,4,dedup of 'striking'
D043.svg,whipping,forearm holding a flail,4,
D044.svg,ruling,forearm holding a sceptre,3,
D045.svg,wielding,forearm holding a wand,3,
D047.svg,clutching,hand,3,dedup of 'grasping'
D050B.svg,pointing,finger,3,
D051.svg,showing,finger (horizontal),3,dedup of 'pointing'; shortened from 'indicating'
D055.svg,backing,two legs walking backward,4,shortened from 'retreating'
