picture,word,depicts,score,remarks
A001.svg,man,seated man,5,
A002.svg,chef,man with hand to mouth,4,
A003.svg,dweller,man seated on heel,3,dedup of 'man'
A004.svg,lover,seated man with arms raised in adoration,5,shortened from 'worshipper'
A005A.svg,dodger,man crouching and hiding behind a wall,4,
A006A.svg,barber,man purifying himself with water,4,purification
A009.svg,porter,man with a basket on his head,4,
A010.svg,boatman,man seated in a boat holding an oar,4,
A011.svg,noble,man holding a long staff and a sceptre,3,
A012.svg,soldier,soldier with bow and quiver,5,
A017.svg,kid,child seated with hand to mouth,5,
A017A.svg,toy,child seated with arms hanging down,5,variant; dedup of 'child'
A018.svg,prince,"child wearing the red crown, seated",4,
A019.svg,elder,bent old man leaning on a staff,5,
A021.svg,official,man holding a staff with kerchief (official),4,
A022.svg,statue,"man holding staff and sceptre, statue",3,
A027.svg,runner,"man hastening, running",4,
A030.svg,devotee,man with arms raised in praise,4,dedup of 'worshipper'
A032.svg,dancer,man dancing with arms raised,5,
A032A.svg,tumbler,man dancing with one arm forward,4,variant; dedup of 'dancer'
A033.svg,bearer,man with staff and bundle over shoulder,4,
A035.svg,builder,"man building a wall, laying bricks",4,
A036.svg,brewer,man kneading in a vat (brewer),4,
A039.svg,tamer,man grasping necks of two giraffes,3,
A042A.svg,king,"king seated holding flail, crowned",5,
A043.svg,pharaoh,king wearing white crown of Upper Egypt,4,
A043A.svg,monarch,king in white crown holding flail,5,variant; dedup of 'king'
A044.svg,ruler,king in white crown holding flail,5,dedup of 'king'
A045A.svg,sovereign,king wearing red crown of Lower Egypt,5,dedup of 'king'
A049.svg,foreigner,foreigner seated holding a staff,4,
A050.svg,dignitary,honored one seated on a chair,4,dedup of 'noble'
A051.svg,lord,noble seated holding a flail,4,dedup of 'noble'
A052.svg,ancestor,noble squatting holding a flail,3,revered dead
A053.svg,wizard,standing mummy/wrapped figure,5,
A054.svg,dreamer,mummy lying on a bier,5,dedup of 'mummy'
A056.svg,defender,man seated holding a stick,3,dedup of 'man'
A057.svg,mason,man holding stick and bag,3,dedup of 'builder'
A060.svg,sower,man sowing seed while walking,4,
A061.svg,fighter,"man brandishing weapon, striking",3,
A063.svg,teacher,man holding a was-sceptre,3,dedup of 'official'
A064.svg,carrier,man bending forward carrying a load,4,dedup of 'porter'
A067.svg,elf,"dwarf, short-statured man",5,
A068.svg,figure,"man with arms hanging, standing",3,dedup of 'man'
A069.svg,jumper,dancing/leaping man,4,dedup of 'dancer'
A070.svg,guardian,man holding a long staff upright,3,
Aa005.svg,helm,part of a steering-oar/ship's gear,3,
Aa017.svg,cover,a cover or lid,3,
Aa018.svg,lid,a cover/lid variant,3,
Aa019.svg,object,indeterminate object,1,uncertain
Aa024.svg,woodclub,"indeterminate object, possibly a club",2,"uncertain; dedup of 'club'; shortened from 'rough-club'; plain word, was 'roughclub'"
Aa031.svg,comb,"indeterminate object, possibly a comb",2,uncertain
B001.svg,woman,seated woman,5,
B004.svg,matriarch,pregnant woman,4,dedup of 'mother'
B005.svg,nurse,woman nursing a child,4,
B005A.svg,nursemaid,woman seated nursing a child,4,dedup of 'mother'
B006.svg,mother,woman seated holding a child,5,
B007.svg,queen,queen wearing crown holding sceptre,5,
B008.svg,maiden,woman holding a lotus flower,4,dedup of 'woman'
B009.svg,kneeler,woman kneeling,4,dedup of 'woman'
C001.svg,god,seated god holding a staff,5,
C002.svg,sunlord,falcon-headed god with sun-disc (Ra),5,"sun god; plain word, was 'Ra'"
C002A.svg,sunking,falcon-headed god holding ankh (Ra),5,"dedup of 'Ra'; shortened from 'sun-god'; plain word, was 'sunhawk'"
C002B.svg,daygod,falcon-headed sun god variant,5,"dedup of 'Ra'; shortened from 'sun-lord'; plain word, was 'daystar'"
C002C.svg,sunchief,falcon-headed sun god variant,5,"dedup of 'Ra'; shortened from 'daystar'; plain word, was 'sundeity'; real noun, was 'sunface'"
C003.svg,discgod,god with sun-disc on head (Ra),5,"dedup of 'Ra'; plain word, was 'sundisc'; real noun, was 'discface'"
