picture,word,depicts,score,remarks
A001.svg,seated,seated man,5,
A002.svg,hungry,man with hand to mouth,3,
A005A.svg,concealed,man crouching and hiding behind a wall,4,
A006A.svg,pure,man purifying himself with water,4,
A007.svg,weary,fatigued man slumped with arm hanging,5,
A007.svg,tired,fatigued man slumped with arm hanging,5,
A008.svg,jubilant,man performing the henu jubilation gesture,4,
A011.svg,dignified,man holding a long staff and a sceptre,3,
A012.svg,armed,soldier with bow and quiver,4,
A014A.svg,valiant,"man with blood streaming from head, slain",3,was 'slain'; email-friendly swap
A014A.svg,daring,"man with blood streaming from head, slain",3,was 'bleeding'; email-friendly swap
A015.svg,fallen,"man falling, upside down",4,
A016.svg,humble,man bowing low,3,
A017.svg,young,child seated with hand to mouth,4,
A017A.svg,youthful,child seated with arms hanging down,4,dedup of 'young'
A018.svg,crowned,"child wearing the red crown, seated",4,
A019.svg,old,bent old man leaning on a staff,5,
A021.svg,noble,man holding a staff with kerchief (official),3,
A027.svg,hurried,"man hastening, running",3,dedup of 'swift'
A028.svg,high,man with both arms raised above head,4,
A029.svg,toppled,"man upside down, falling headfirst",5,shortened from 'upside-down'
A031.svg,averted,"man with arms raised behind, turning away",4,
A032.svg,merry,man dancing with arms raised,3,dedup of 'jubilant'
A042A.svg,royal,"king seated holding flail, crowned",4,
A043.svg,regal,king wearing white crown of Upper Egypt,4,dedup of 'royal'
A043A.svg,sovereign,king in white crown holding flail,4,dedup of 'royal'
A044.svg,imperial,king in white crown holding flail,4,dedup of 'royal'
A045A.svg,crimson,king wearing red crown of Lower Egypt,4,dedup of 'royal'; red crown color
A049.svg,foreign,foreigner seated holding a staff,4,
A050.svg,honored,honored one seated on a chair,4,
A051.svg,esteemed,noble seated holding a flail,4,dedup of 'noble'
A052.svg,revered,noble squatting holding a flail,3,
A053.svg,wrapped,standing mummy/wrapped figure,4,
A054.svg,resting,mummy lying on a bier,3,was 'dead'; email-friendly swap
A059.svg,fierce,man brandishing a stick to threaten,3,
A064.svg,laden,man bending forward carrying a load,4,
A066.svg,prostrate,man lying prone on his belly,4,
A067.svg,short,"dwarf, short-statured man",4,
B001.svg,poised,seated woman,4,dedup of 'seated'
B004.svg,expectant,pregnant woman,5,dedup softened from 'pregnant'
B007.svg,queenly,queen wearing crown holding sceptre,4,dedup of 'royal'
C001.svg,divine,seated god holding a staff,4,
C002.svg,hawkish,falcon-headed god with sun-disc (Ra),5,shortened from 'falcon-headed'
C002A.svg,hawkeyed,falcon-headed god holding ankh (Ra),5,dedup of 'falcon-headed'; shortened from 'hawk-faced'
C003.svg,radiant,god with sun-disc on head (Ra),3,
C004.svg,ramlike,ram-headed god (Khnum),5,shortened from 'ram-headed'
C005.svg,ramhorn,ram-headed god holding ankh (Khnum),5,"dedup of 'ram-headed'; shortened from 'ram-crowned'; plain word, was 'ramhorned'"
C006.svg,houndish,jackal-headed god (Anubis),5,shortened from 'jackal-headed'
C007.svg,beastly,god with Seth-animal head (Seth),4,shortened from 'beast-headed'
C008.svg,plumed,ithyphallic god with plumes (Min),4,
C009.svg,horned,goddess with horns and disc (Hathor),4,
C010.svg,feathered,goddess with feather on head (Maat),5,
C010A.svg,proud,goddess Maat seated with feather,5,dedup of 'feathered'
C016.svg,hallowed,deity with divine beard and emblem,3,dedup of 'divine'
C017.svg,twoplumed,god with two falcon plumes,3,"dedup of 'plumed'/'crested'; shortened from 'twin-plumed'; plain word, was 'twinplume'"
C021.svg,boyish,child god with sidelock and crown,4,dedup of 'youthful'
C024.svg,crescent,goddess with horns and disc (Isis),4,dedup of 'horned'
D008.svg,watchful,eye within an enclosure,3,
D009.svg,tearful,eye with flowing tears,4,
D010.svg,watching,eye of Horus (wedjat eye),4,dedup of 'watchful'; shortened from 'all-seeing'
D040.svg,strong,forearm holding a stick,3,
E002.svg,raging,charging bull,4,dedup of 'fierce'
E005.svg,gentle,cow suckling a calf,3,
E006.svg,swift,horse,4,
E006.svg,wild,horse,3,
E013.svg,sleek,cat,4,
E013.svg,silent,cat,3,
E014.svg,loyal,dog / hound,3,
E014.svg,nimble,dog / hound,3,dedup of 'swift'
E015.svg,vigilant,recumbent jackal,3,dedup of 'watchful'
E017.svg,untamed,jackal / wolf standing,3,dedup of 'wild'
E020.svg,feral,Seth animal (mythical beast),3,dedup of 'wild'
E020.svg,chaotic,Seth animal (mythical beast),3,
E020A.svg,savage,Seth animal variant,3,dedup of 'wild'
E022.svg,mighty,recumbent lion,4,
E022.svg,kingly,recumbent lion,3,dedup of 'regal'
E023.svg,powerful,recumbent lion,4,dedup of 'strong'
E023.svg,fearless,recumbent lion,4,dedup of 'mighty'
E024.svg,spotted,leopard / panther,4,
E024.svg,prowling,leopard / panther,3,dedup of 'fierce'
E025.svg,massive,hippopotamus,4,
E026.svg,huge,elephant,4,
E026.svg,towering,elephant,3,dedup of 'mighty'
E028.svg,fleet,oryx / gazelle,4,dedup of 'swift'
E028.svg,graceful,oryx / gazelle,4,
E034.svg,darting,desert hare,4,dedup of 'swift'
E038.svg,sturdy,long-horned bull / cattle,4,dedup of 'strong'
E038.svg,tusked,long-horned bull / cattle,4,dedup of 'horned'; shortened from 'longhorned'
F002.svg,pronged,horns of a bull,4,dedup of 'horned'; shortened from 'sharp-horned'
F004.svg,lionlike,forepart of a lion,3,"dedup of 'mighty'; plain word, was 'leonine'"
F005.svg,antlered,head of a hartebeest antelope,3,dedup of 'horned'
F007.svg,spiraled,head of a ram,4,dedup of 'horned'; shortened from 'curl-horned'
F009.svg,snarling,head of a leopard / panther,3,dedup of 'fierce'
F013.svg,hooked,horns of an ox,4,dedup of 'horned'; shortened from 'crescent-horned'
F034.svg,brave,heart of an animal,2,
G001.svg,winged,Egyptian vulture,4,
G005.svg,keen,falcon (Horus falcon),4,dedup of 'swift'
G006A.svg,lordly,falcon on standard,3,dedup of 'regal'
G009.svg,shining,falcon with sun-disk on head,3,
G011A.svg,sacred,image of a sacred falcon,3,
G012.svg,princely,royal falcon with flagellum,3,dedup of 'royal'
G013.svg,topknot,falcon with double plumes (Sokar),4,dedup of 'plumed'; shortened from 'double-plumed'
G017.svg,alert,owl,4,dedup of 'watchful'; shortened from 'wide-eyed'
G018.svg,wakeful,two owls,3,dedup of 'watchful'
G021.svg,speckled,guinea fowl,4,
G022.svg,crested,hoopoe,4,
G023.svg,tufted,lapwing,3,dedup of 'crested'
G024.svg,bound,lapwing with bound wings (rekhyt),3,
